MINUS_105;170;MALE;MALE_MASTER1;BENCHPRESS;
MINUS_120;182.5;MALE;MALE_MASTER1;BENCHPRESS;
PLUS_120;207.5;MALE;MALE_MASTER1;BENCHPRESS;
MINUS_59;150;MALE;MALE_MASTER1;DEADLIFT;
MINUS_66;220;MALE;MALE_MASTER1;DEADLIFT;
MINUS_74;240;MALE;MALE_MASTER1;DEADLIFT;
MINUS_83;257.5;MALE;MALE_MASTER1;DEADLIFT;
MINUS_93;265.5;MALE;MALE_MASTER1;DEADLIFT;
MINUS_105;300;MALE;MALE_MASTER1;DEADLIFT;
MINUS_120;300;MALE;MALE_MASTER1;DEADLIFT;
PLUS_120;265.5;MALE;MALE_MASTER1;DEADLIFT;


MINUS_59;150.5;MALE;MALE_MASTER2;SQUAT;
MINUS_66;145;MALE;MALE_MASTER2;SQUAT;
MINUS_74;105;MALE;MALE_MASTER2;SQUAT;
MINUS_83;217.5;MALE;MALE_MASTER2;SQUAT;
MINUS_93;210.5;MALE;MALE_MASTER2;SQUAT;
MINUS_105;205;MALE;MALE_MASTER2;SQUAT;
MINUS_120;173;MALE;MALE_MASTER2;SQUAT;
MINUS_59;60;MALE;MALE_MASTER2;BENCHPRESS;
MINUS_66;92.5;MALE;MALE_MASTER2;BENCHPRESS;
MINUS_74;105;MALE;MALE_MASTER2;BENCHPRESS;
MINUS_83;143;MALE;MALE_MASTER2;BENCHPRESS;
MINUS_93;145;MALE;MALE_MASTER2;BENCHPRESS;
MINUS_105;140;MALE;MALE_MASTER2;BENCHPRESS;
MINUS_120;120.5;MALE;MALE_MASTER2;BENCHPRESS;
MINUS_59;150;MALE;MALE_MASTER2;DEADLIFT;
MINUS_66;190;MALE;MALE_MASTER2;DEADLIFT;
MINUS_74;172.5;MALE;MALE_MASTER2;DEADLIFT;
MINUS_83;250.5;MALE;MALE_MASTER2;DEADLIFT;
MINUS_93;251;MALE;MALE_MASTER2;DEADLIFT;
MINUS_105;270;MALE;MALE_MASTER2;DEADLIFT;
MINUS_120;228;MALE;MALE_MASTER2;DEADLIFT;



MINUS_59;150.5;MALE;MALE_MASTER3;SQUAT;
MINUS_66;75;MALE;MALE_MASTER3;SQUAT;
MINUS_74;102.5;MALE;MALE_MASTER3;SQUAT;
MINUS_83;215;MALE;MALE_MASTER3;SQUAT;
MINUS_93;210.5;MALE;MALE_MASTER3;SQUAT;
MINUS_105;190;MALE;MALE_MASTER3;SQUAT;
MINUS_59;60;MALE;MALE_MASTER3;BENCHPRESS;
MINUS_66;77.5;MALE;MALE_MASTER3;BENCHPRESS;
MINUS_74;80.5;MALE;MALE_MASTER3;BENCHPRESS;
MINUS_83;122.5;MALE;MALE_MASTER3;BENCHPRESS;
MINUS_93;120;MALE;MALE_MASTER3;BENCHPRESS;
MINUS_105;90;MALE;MALE_MASTER3;BENCHPRESS;
MINUS_59;150;MALE;MALE_MASTER3;DEADLIFT;
MINUS_66;155;MALE;MALE_MASTER3;DEADLIFT;
MINUS_74;171;MALE;MALE_MASTER3;DEADLIFT;
MINUS_83;230;MALE;MALE_MASTER3;DEADLIFT;
MINUS_93;251;MALE;MALE_MASTER3;DEADLIFT;
MINUS_105;243;MALE;MALE_MASTER3;DEADLIFT;



MINUS_66;70;MALE;MALE_MASTER4;SQUAT;
MINUS_83;135;MALE;MALE_MASTER4;SQUAT;
MINUS_66;52.5;MALE;MALE_MASTER4;BENCHPRESS;
MINUS_83;80;MALE;MALE_MASTER4;BENCHPRESS;
MINUS_66;110;MALE;MALE_MASTER4;DEADLIFT;
MINUS_83;185;MALE;MALE_MASTER4;DEADLIFT;




MINUS_47;107.5;FEMALE;FEMALE_SENIOR;SQUAT;
MINUS_52;135;FEMALE;FEMALE_SENIOR;SQUAT;
MINUS_57;130;FEMALE;FEMALE_SENIOR;SQUAT;
MINUS_63;175;FEMALE;FEMALE_SENIOR;SQUAT;
MINUS_72;163;FEMALE;FEMALE_SENIOR;SQUAT;
MINUS_84;187.5;FEMALE;FEMALE_SENIOR;SQUAT;
PLUS_84;152.5;FEMALE;FEMALE_SENIOR;SQUAT;
MINUS_47;65;FEMALE;FEMALE_SENIOR;BENCHPRESS;
MINUS_52;81;FEMALE;FEMALE_SENIOR;BENCHPRESS;
MINUS_57;86;FEMALE;FEMALE_SENIOR;BENCHPRESS;
MINUS_63;133;FEMALE;FEMALE_SENIOR;BENCHPRESS;
MINUS_72;106.5;FEMALE;FEMALE_SENIOR;BENCHPRESS;
MINUS_84;97.5;FEMALE;FEMALE_SENIOR;BENCHPRESS;
PLUS_84;80;FEMALE;FEMALE_SENIOR;BENCHPRESS;
MINUS_47;135;FEMALE;FEMALE_SENIOR;DEADLIFT;
MINUS_52;165;FEMALE;FEMALE_SENIOR;DEADLIFT;
MINUS_57;162.5;FEMALE;FEMALE_SENIOR;DEADLIFT;
MINUS_63;180;FEMALE;FEMALE_SENIOR;DEADLIFT;
MINUS_72;205;FEMALE;FEMALE_SENIOR;DEADLIFT;
MINUS_84;205.5;FEMALE;FEMALE_SENIOR;DEADLIFT;
PLUS_84;160;FEMALE;FEMALE_SENIOR;DEADLIFT;
MINUS_52;87.5;FEMALE;FEMALE_SUB_JUNIOR;SQUAT;
MINUS_57;86;FEMALE;FEMALE_SUB_JUNIOR;SQUAT;
MINUS_63;117.5;FEMALE;FEMALE_SUB_JUNIOR;SQUAT;
MINUS_72;110;FEMALE;FEMALE_SUB_JUNIOR;SQUAT;
PLUS_84;150;FEMALE;FEMALE_SUB_JUNIOR;SQUAT;
MINUS_52;50.5;FEMALE;FEMALE_SUB_JUNIOR;BENCHPRESS;
MINUS_57;50;FEMALE;FEMALE_SUB_JUNIOR;BENCHPRESS;
MINUS_63;80;FEMALE;FEMALE_SUB_JUNIOR;BENCHPRESS;
MINUS_72;80;FEMALE;FEMALE_SUB_JUNIOR;BENCHPRESS;
PLUS_84;75;FEMALE;FEMALE_SUB_JUNIOR;BENCHPRESS;
MINUS_52;115;FEMALE;FEMALE_SUB_JUNIOR;DEADLIFT;
MINUS_57;100;FEMALE;FEMALE_SUB_JUNIOR;DEADLIFT;
MINUS_63;138;FEMALE;FEMALE_SUB_JUNIOR;DEADLIFT;
MINUS_72;145;FEMALE;FEMALE_SUB_JUNIOR;DEADLIFT;
PLUS_84;140;FEMALE;FEMALE_SUB_JUNIOR;DEADLIFT;
MINUS_47;100;FEMALE;FEMALE_JUNIOR;SQUAT;
MINUS_52;110;FEMALE;FEMALE_JUNIOR;SQUAT;
MINUS_57;127.5;FEMALE;FEMALE_JUNIOR;SQUAT;
MINUS_63;165;FEMALE;FEMALE_JUNIOR;SQUAT;
MINUS_72;128;FEMALE;FEMALE_JUNIOR;SQUAT;
MINUS_84;135.5;FEMALE;FEMALE_JUNIOR;SQUAT;
PLUS_84;150;FEMALE;FEMALE_JUNIOR;SQUAT;
MINUS_47;55;FEMALE;FEMALE_JUNIOR;BENCHPRESS;
MINUS_52;77.5;FEMALE;FEMALE_JUNIOR;BENCHPRESS;
MINUS_57;86;FEMALE;FEMALE_JUNIOR;BENCHPRESS;
MINUS_63;133;FEMALE;FEMALE_JUNIOR;BENCHPRESS;
MINUS_72;80;FEMALE;FEMALE_JUNIOR;BENCHPRESS;
MINUS_84;62.5;FEMALE;FEMALE_JUNIOR;BENCHPRESS;
PLUS_84;75;FEMALE;FEMALE_JUNIOR;BENCHPRESS;
MINUS_47;110;FEMALE;FEMALE_JUNIOR;DEADLIFT;
MINUS_52;150;FEMALE;FEMALE_JUNIOR;DEADLIFT;
MINUS_57;151;FEMALE;FEMALE_JUNIOR;DEADLIFT;
MINUS_63;167.5;FEMALE;FEMALE_JUNIOR;DEADLIFT;
MINUS_72;171;FEMALE;FEMALE_JUNIOR;DEADLIFT;
MINUS_84;153;FEMALE;FEMALE_JUNIOR;DEADLIFT;
PLUS_84;140;FEMALE;FEMALE_JUNIOR;DEADLIFT;
MINUS_47;107.5;FEMALE;FEMALE_MASTER1;SQUAT;
MINUS_52;115;FEMALE;FEMALE_MASTER1;SQUAT;
MINUS_57;112.5;FEMALE;FEMALE_MASTER1;SQUAT;
MINUS_63;130;FEMALE;FEMALE_MASTER1;SQUAT;
MINUS_72;110.5;FEMALE;FEMALE_MASTER1;SQUAT;
MINUS_84;145;FEMALE;FEMALE_MASTER1;SQUAT;
PLUS_84;152.5;FEMALE;FEMALE_MASTER1;SQUAT;
MINUS_47;57.5;FEMALE;FEMALE_MASTER1;BENCHPRESS;
MINUS_52;67;FEMALE;FEMALE_MASTER1;BENCHPRESS;
MINUS_57;65;FEMALE;FEMALE_MASTER1;BENCHPRESS;
MINUS_63;67.5;FEMALE;FEMALE_MASTER1;BENCHPRESS;
MINUS_72;75.5;FEMALE;FEMALE_MASTER1;BENCHPRESS;
MINUS_84;77.5;FEMALE;FEMALE_MASTER1;BENCHPRESS;
PLUS_84;75;FEMALE;FEMALE_MASTER1;BENCHPRESS;
MINUS_47;128;FEMALE;FEMALE_MASTER1;DEADLIFT;
MINUS_52;155;FEMALE;FEMALE_MASTER1;DEADLIFT;
MINUS_57;150;FEMALE;FEMALE_MASTER1;DEADLIFT;
MINUS_63;145;FEMALE;FEMALE_MASTER1;DEADLIFT;
MINUS_72;150;FEMALE;FEMALE_MASTER1;DEADLIFT;
MINUS_84;167.5;FEMALE;FEMALE_MASTER1;DEADLIFT;
PLUS_84;160;FEMALE;FEMALE_MASTER1;DEADLIFT;
MINUS_47;70;FEMALE;FEMALE_MASTER2;SQUAT;
MINUS_52;95.;FEMALE;FEMALE_MASTER2;SQUAT;
MINUS_57;90;FEMALE;FEMALE_MASTER2;SQUAT;
MINUS_72;100;FEMALE;FEMALE_MASTER2;SQUAT;
MINUS_84;60;FEMALE;FEMALE_MASTER2;SQUAT;
MINUS_47;42.5;FEMALE;FEMALE_MASTER2;BENCHPRESS;
MINUS_52;57.5;FEMALE;FEMALE_MASTER2;BENCHPRESS;
MINUS_57;70;FEMALE;FEMALE_MASTER2;BENCHPRESS;
MINUS_72;75.5;FEMALE;FEMALE_MASTER2;BENCHPRESS;
MINUS_84;45;FEMALE;FEMALE_MASTER2;BENCHPRESS;
MINUS_47;107.5;FEMALE;FEMALE_MASTER2;DEADLIFT;
MINUS_52;140.5;FEMALE;FEMALE_MASTER2;DEADLIFT;
MINUS_57;119;FEMALE;FEMALE_MASTER2;DEADLIFT;
MINUS_72;150;FEMALE;FEMALE_MASTER2;DEADLIFT;
MINUS_84;105;FEMALE;FEMALE_MASTER2;DEADLIFT;
MINUS_72;100;FEMALE;FEMALE_MASTER3;SQUAT;
MINUS_72;75.5;FEMALE;FEMALE_MASTER3;BENCHPRESS;
MINUS_72;150;FEMALE;FEMALE_MASTER3;DEADLIFT;




